,budget,country,cum_ww_gross,director,genre_1,genre_2,genre_3,language,mpaa_rating,ratings_count,release_date,runtime,title,url,usa_gross,user_rating
5403,52000000,USA,609841637,Phyllida Lloyd,Comedy,Musical,Romance,English,PG-13,179519,2008-07-18,108.0,Mamma Mia!,https://www.imdb.com/title/tt0795421,144130063.0,6.4
5404,20000000,USA,55030051,Malcolm D. Lee,Comedy,Drama,,English,PG-13,12748,2016-04-15,111.0,Barbershop: The Next Cut,https://www.imdb.com/title/tt3628584,54030051.0,5.9
5405,16000000,USA,,Woody Allen,Comedy,,,English,PG,27872,1987-01-30,88.0,Radio Days,https://www.imdb.com/title/tt0093818,14792779.0,7.6
5406,,USA,,Sean Durkin,Drama,Mystery,Thriller,English,R,44814,2011-12-21,102.0,Martha Marcy May Marlene,https://www.imdb.com/title/tt1441326,2981638.0,6.9
5407,,USA,,Tom Six,Comedy,Horror,,English,Not Rated,11506,2015-06-18,102.0,The Human Centipede III (Final Sequence),https://www.imdb.com/title/tt1883367,,2.8
5408,30000000,New Zealand,12600000,Peter Jackson,Comedy,Fantasy,Horror,English,R,74598,1996-07-19,110.0,The Frighteners,https://www.imdb.com/title/tt0116365,16759216.0,7.1
5409,19000000,USA,33500000,Robert Rodriguez,Action,Crime,Horror,English,R,250016,1996-01-19,108.0,From Dusk Till Dawn,https://www.imdb.com/title/tt0116367,25753840.0,7.3
5410,3000000,USA,,Matthew Bright,Comedy,Crime,Drama,English,R,24118,1997-09-03,104.0,Freeway,https://www.imdb.com/title/tt0116361,295493.0,6.9
5411,200000000,USA,559852396,"John Lasseter, Brad Lewis",Animation,Adventure,Comedy,English,G,128766,2011-06-24,106.0,Cars 2,https://www.imdb.com/title/tt1216475,191452396.0,6.2
5412,,USA,,Noah Baumbach,Comedy,Drama,Romance,English,R,33075,2010-03-26,107.0,Greenberg,https://www.imdb.com/title/tt1234654,4216789.0,6.1
5413,24000000,USA,,Ron Shelton,Comedy,Drama,Sport,English,R,10870,2000-01-21,124.0,Play It to the Bone,https://www.imdb.com/title/tt0196857,8427204.0,5.4
5414,65000000,USA,143695338,David Lowery,Action,Adventure,Comedy,English,PG,47028,2016-08-12,102.0,Pete's Dragon,https://www.imdb.com/title/tt2788732,76233151.0,6.7
5415,7000000,USA,,Lewis Teague,Comedy,Horror,Thriller,English,PG-13,19804,1985-04-12,94.0,Cat's Eye,https://www.imdb.com/title/tt0088889,13086000.0,6.3
5416,62000000,France,127666415,Jonathan Mostow,Action,War,,English,PG-13,70906,2000-04-21,116.0,U-571,https://www.imdb.com/title/tt0141926,77086030.0,6.6
5417,45000000,USA,34586268,John Moore,Action,Adventure,Drama,English,PG-13,48904,2004-12-17,113.0,Flight of the Phoenix,https://www.imdb.com/title/tt0377062,21009180.0,6.1
5418,,USA,,Chris Rock,Comedy,Drama,Romance,English,R,15684,2007-03-16,94.0,I Think I Love My Wife,https://www.imdb.com/title/tt0770772,12550605.0,5.5
5419,20000000,Germany,11664116,Todd Haynes,Biography,Drama,Music,English,R,52624,2007-12-07,135.0,I'm Not There.,https://www.imdb.com/title/tt0368794,4017609.0,7.0
5420,7000000,Germany,7609187,Jim Jarmusch,Comedy,Drama,Fantasy,English,R,77232,2013-12-25,123.0,Only Lovers Left Alive,https://www.imdb.com/title/tt1714915,1879534.0,7.3
5421,18000000,USA,,Chuck Russell,Action,Crime,Drama,English,R,10309,2016-04-15,92.0,I Am Wrath,https://www.imdb.com/title/tt3212232,,5.3
5422,100000000,USA,202026112,Dean Parisot,Comedy,Crime,,English,PG-13,122065,2005-12-21,90.0,Fun with Dick and Jane,https://www.imdb.com/title/tt0369441,110332737.0,6.1
5423,7000000,Germany,,Uwe Boll,Action,Adventure,Horror,English,R,34125,2003-10-10,90.0,House of the Dead,https://www.imdb.com/title/tt0317676,10249719.0,2.0
