,budget,cum_ww_gross,release_date,title,usa_gross
778,"$65,000,000","$58,545,540",11/11/2005,Zathura,"$28,045,540"
779,"$65,000,000","$38,253,433",11/26/2003,The Missing,"$26,900,336"
780,"$65,000,000","$56,824,633",1/14/2005,Elektra,"$24,409,722"
781,"$65,000,000","$41,636,243",10/23/2009,Astro Boy,"$19,551,067"
782,"$65,000,000","$74,575,290",1/24/2014,"I, Frankenstein","$19,075,290"
783,"$65,000,000","$17,218,916",5/24/1991,Hudson Hawk,"$17,218,916"
784,"$65,000,000","$40,650,842",8/22/2014,Sin City: A Dame to Kill For,"$13,757,804"
785,"$65,000,000","$21,778,555",12/25/2016,Live by Night,"$10,378,555"
786,"$65,000,000","$10,014,234",10/27/2000,Lucky Numbers,"$10,014,234"
787,"$65,000,000","$26,670,920",9/23/2005,Oliver Twist,"$2,070,920"
788,"$65,000,000","$122,519,874",9/4/2015,Tian jiang xiong shi,"$74,070"
789,"$64,000,000","$101,636,047",7/14/2006,Little Man,"$58,636,047"
790,"$64,000,000","$63,200,000",10/8/1999,Random Hearts,"$31,054,924"
791,"$63,700,000","$133,603,463",12/27/2006,Perfume: The Story of a Murderer,"$2,223,293"
792,"$63,000,000","$1,038,812,584",6/11/1993,Jurassic Park,"$395,708,305"
793,"$63,000,000","$296,338,663",7/25/2002,Austin Powers in Goldmember,"$213,117,789"
794,"$63,000,000","$188,657,593",4/1/2011,Hop,"$108,085,305"
795,"$63,000,000","$25,052,000",6/24/1994,Wyatt Earp,"$25,052,000"
796,"$62,000,000","$207,500,000",8/3/1994,Clear and Present Danger,"$122,012,656"
797,"$62,000,000","$127,630,030",4/21/2000,U-571,"$77,086,030"
798,"$62,000,000","$107,822,813",11/17/1995,The American President,"$60,022,813"
799,"$62,000,000","$147,864,886",12/25/2015,The Hateful Eight,"$54,117,416"
800,"$62,000,000","$40,159,017",6/20/2008,The Love Guru,"$32,235,793"
801,"$62,000,000","$18,708,848",2/23/2001,3000 Miles to Graceland,"$15,738,632"
802,"$61,000,000","$368,567,189",10/3/2014,Gone Girl,"$167,767,189"
803,"$61,000,000","$145,594,548",3/30/2007,Blades of Glory,"$118,594,548"
804,"$61,000,000","$310,697,192",9/18/2015,Maze Runner: The Scorch Trials,"$81,697,192"
805,"$61,000,000","$132,493,015",8/2/2013,2 Guns,"$75,612,460"
806,"$61,000,000","$265,878,841",1/26/2018,Maze Runner: The Death Cure,"$58,032,443"
807,"$60,720,000","$554,516,671",2/19/2016,Mei Ren Yu,"$3,229,457"
808,"$60,000,000","$516,567,575",12/22/2004,Meet the Fockers,"$279,167,575"
809,"$60,000,000","$457,729,388",2/7/2014,The Lego Movie,"$257,784,718"
810,"$60,000,000","$454,161,935",3/9/2007,300,"$210,614,939"
811,"$60,000,000","$253,555,383",3/2/2007,Wild Hogs,"$168,213,584"
812,"$60,000,000","$247,812,011",12/25/2008,Marley & Me,"$143,153,751"
813,"$60,000,000","$290,701,374",12/10/1999,The Green Mile,"$136,801,374"
814,"$60,000,000","$310,043,823",11/4/2005,Chicken Little,"$135,386,665"
815,"$60,000,000","$264,118,201",6/5/1998,The Truman Show,"$125,618,201"
816,"$60,000,000","$238,552,082",9/9/2016,Sully,"$125,070,033"
817,"$60,000,000","$214,357,371",6/14/2002,The Bourne Identity,"$121,468,960"
818,"$60,000,000","$172,450,423",10/9/2009,Couples Retreat,"$109,205,660"
819,"$60,000,000","$356,429,941",11/17/1995,Goldeneye,"$106,429,941"
820,"$60,000,000","$176,262,839",5/30/2003,The Italian Job,"$106,126,012"
821,"$60,000,000","$164,285,587",5/9/2003,Daddy Day Care,"$104,148,781"
822,"$60,000,000","$149,705,852",6/18/1999,The General's Daughter,"$102,705,852"
823,"$60,000,000","$218,613,188",12/18/1998,The Prince of Egypt,"$101,413,188"
824,"$60,000,000","$217,670,152",8/6/2004,Collateral,"$100,170,152"
825,"$60,000,000","$200,700,000",7/4/2001,Cats & Dogs,"$93,375,151"
826,"$60,000,000","$199,043,309",12/20/2002,Two Weeks Notice,"$93,354,918"
827,"$60,000,000","$152,457,863",10/2/1998,Antz,"$90,757,863"
828,"$60,000,000","$165,890,634",4/19/2002,The Scorpion King,"$90,580,000"
829,"$60,000,000","$196,439,693",10/15/2010,Red,"$90,380,162"
830,"$60,000,000","$170,200,225",3/5/2004,Starsky & Hutch,"$88,200,225"
831,"$60,000,000","$157,670,733",6/27/1990,Days of Thunder,"$82,670,733"
832,"$60,000,000","$135,015,330",12/21/2005,Cheaper by the Dozen 2,"$82,571,173"
833,"$60,000,000","$206,598,789",8/13/2010,Eat Pray Love,"$80,574,010"
834,"$60,000,000","$217,370,736",12/21/2012,Jack Reacher,"$80,070,736"
835,"$60,000,000","$130,968,579",4/23/2004,Man on Fire,"$77,906,816"
836,"$60,000,000","$124,715,863",12/22/2000,The Family Man,"$75,764,085"
837,"$60,000,000","$137,551,594",9/9/2011,Contagion,"$75,658,097"
838,"$60,000,000","$100,230,832",12/22/1999,Any Given Sunday,"$75,530,832"
839,"$60,000,000","$186,883,563",5/15/1998,The Horse Whisperer,"$75,383,563"
840,"$60,000,000","$126,037,057",2/6/2009,Coraline,"$75,286,229"
841,"$60,000,000","$102,332,848",10/1/2004,Ladder 49,"$74,541,707"
842,"$60,000,000","$165,048,228",7/28/1999,Deep Blue Sea,"$73,648,228"
843,"$60,000,000","$252,091,016",10/28/2009,Michael Jackson's This Is It,"$72,091,016"
844,"$60,000,000","$90,723,216",1/17/2003,Kangaroo Jack,"$66,723,216"
845,"$60,000,000","$162,778,384",6/13/2008,The Happening,"$64,506,874"
846,"$60,000,000","$194,094,168",3/4/2016,London Has Fallen,"$62,524,260"
847,"$60,000,000","$71,719,931",4/7/2000,Rules of Engagement,"$61,322,858"
848,"$60,000,000","$87,123,569",3/10/2006,The Shaggy Dog,"$61,123,569"
849,"$60,000,000","$129,832,389",11/22/1996,Jingle All the Way,"$60,592,389"
850,"$60,000,000","$99,823,958",4/2/2004,Hellboy,"$59,623,958"
851,"$60,000,000","$160,038,407",10/21/2016,Jack Reacher: Never Go Back,"$58,697,076"
852,"$60,000,000","$176,334,860",5/25/2017,Baywatch,"$58,060,186"
853,"$60,000,000","$56,709,981",12/25/1998,A Civil Action,"$56,709,981"
854,"$60,000,000","$101,134,059",12/25/2015,Joy,"$56,451,232"
855,"$60,000,000","$108,119,662",8/17/2012,ParaNorman,"$56,003,051"
856,"$60,000,000","$159,356,941",11/14/1997,The Jackal,"$54,956,941"
857,"$60,000,000","$98,819,789",12/25/2003,Paycheck,"$53,789,313"
858,"$60,000,000","$100,645,801",3/1/1996,Up Close & Personal,"$51,045,801"
859,"$60,000,000","$90,482,317",12/19/2008,The Tale of Despereaux,"$50,877,145"
860,"$60,000,000","$111,946,251",9/26/2014,The Boxtrolls,"$50,837,305"
861,"$60,000,000","$113,443,235",8/4/2017,The Dark Tower,"$50,701,325"
862,"$60,000,000","$104,429,625",9/27/2002,The Tuxedo,"$50,586,000"
863,"$60,000,000","$131,377,412",1/17/2014,Jack Ryan: Shadow Recruit,"$50,577,412"
864,"$60,000,000","$104,324,083",7/14/1995,Under Siege 2: Dark Territory,"$50,024,083"
865,"$60,000,000","$101,382,396",3/24/2005,Miss Congeniality 2: Armed and Fabulous,"$48,478,006"
866,"$60,000,000","$160,700,000",11/26/1997,Alien: Resurrection,"$47,795,018"
867,"$60,000,000","$95,538,560",3/23/2007,Shooter,"$47,003,582"
868,"$60,000,000","$68,336,997",10/16/1998,Practical Magic,"$46,850,558"
869,"$60,000,000","$104,100,903",1/11/2013,Gangster Squad,"$46,000,903"
870,"$60,000,000","$197,422,438",4/7/2017,Smurfs: The Lost Village,"$45,020,282"
871,"$60,000,000","$57,604,723",6/19/2009,Year One,"$43,337,279"
872,"$60,000,000","$82,812,456",1/29/2010,Edge of Darkness,"$43,313,890"
873,"$60,000,000","$67,312,826",12/13/2002,Star Trek: Nemesis,"$43,254,409"
874,"$60,000,000","$82,150,183",2/19/2002,Reign of Fire,"$43,061,982"
875,"$60,000,000","$108,996,113",11/20/2009,Planet 51,"$42,194,060"
876,"$60,000,000","$81,079,566",3/20/2009,Duplicity,"$40,572,825"
877,"$60,000,000","$78,481,410",9/12/2008,Righteous Kill,"$40,081,410"
878,"$60,000,000","$124,514,011",12/11/2009,Invictus,"$37,491,364"
879,"$60,000,000","$88,832,210",4/17/2009,State of Play,"$37,017,955"
880,"$60,000,000","$36,850,101",2/12/1999,My Favorite Martian,"$36,850,101"
881,"$60,000,000","$78,080,697",4/21/2006,The Sentinel,"$36,280,697"
882,"$60,000,000","$47,818,913",9/21/2012,Trouble with the Curve,"$35,763,137"
883,"$60,000,000","$121,327,628",10/10/2003,Intolerable Cruelty,"$35,327,628"
884,"$60,000,000","$33,956,608",1/10/1997,The Relic,"$33,956,608"
885,"$60,000,000","$32,983,332",4/3/1998,Mercury Rising,"$32,983,332"
886,"$60,000,000","$47,371,191",9/15/2000,Almost Famous,"$32,522,352"
887,"$60,000,000","$54,994,757",12/6/2002,Analyze That,"$32,122,249"
888,"$60,000,000","$38,522,450",4/24/2009,The Soloist,"$31,853,584"
889,"$60,000,000","$75,965,567",8/21/2013,The Mortal Instruments: City of Bones,"$31,165,421"
890,"$60,000,000","$39,235,486",11/3/2000,The Legend of Bagger Vance,"$30,695,227"
891,"$60,000,000","$30,063,805",2/22/2002,Dragonfly,"$30,063,805"
892,"$60,000,000","$84,154,026",5/13/2011,Priest,"$29,136,626"
893,"$60,000,000","$147,985,373",6/16/2006,Garfield: A Tail of Two Kitties,"$28,426,747"
894,"$60,000,000","$71,073,932",4/29/2005,XXX: State of the Union,"$26,873,932"
895,"$60,000,000","$26,673,242",8/15/1997,Event Horizon,"$26,673,242"
896,"$60,000,000","$80,767,884",7/2/2003,Sinbad: Legend of the Seven Seas,"$26,483,452"
897,"$60,000,000","$49,473,093",7/8/2005,Dark Water,"$25,473,093"
898,"$60,000,000","$48,585,416",8/14/1998,The Avengers,"$23,385,416"
899,"$60,000,000","$49,238,525",9/15/2006,The Black Dahlia,"$22,672,813"
900,"$60,000,000","$35,319,689",3/26/1999,EDtv,"$22,508,689"
901,"$60,000,000","$39,006,188",12/25/2008,The Spirit,"$19,806,188"
902,"$60,000,000","$20,541,668",10/19/2001,The Last Castle,"$18,208,078"
903,"$60,000,000","$66,655,938",1/23/2009,Inkheart,"$17,303,424"
904,"$60,000,000","$14,816,494",1/14/2000,Supernova,"$14,218,868"
905,"$60,000,000","$14,816,379",9/22/2006,Flyboys,"$13,090,630"
906,"$60,000,000","$22,468,620",2/14/2014,Winter's Tale,"$12,600,231"
907,"$60,000,000","$12,069,719",10/9/1998,Holy Man,"$12,069,719"
908,"$60,000,000","$50,648,806",7/11/2008,Meet Dave,"$11,803,254"
909,"$60,000,000","$10,597,070",8/12/2005,The Great Raid,"$10,166,502"
910,"$60,000,000","$24,152,192",2/24/2017,Rock Dog,"$9,420,546"
911,"$60,000,000","$30,396,134",1/23/2015,Mortdecai,"$7,696,134"
912,"$60,000,000","$13,233,220",1/11/2008,In the Name of the King: A Dungeon Siege Tale,"$4,775,656"
913,"$60,000,000","$11,427,090",10/24/2003,Beyond Borders,"$4,426,297"
914,"$60,000,000","$194,058,503",2/5/2016,Xi You Ji zhi Sun Wu Kong San Da Bai Gu Jing,"$709,982"
915,"$60,000,000",$0,12/11/2015,The Ridiculous 6,$0
916,"$60,000,000",$0,10/12/2018,First Man,$0
917,"$59,000,000","$87,636,028",3/23/2018,Sherlock Gnomes,"$43,242,871"
918,"$58,000,000","$801,029,249",2/12/2016,Deadpool,"$363,070,709"
919,"$58,000,000","$547,326,372",12/25/2014,American Sniper,"$350,126,372"
920,"$58,000,000","$158,905,324",10/16/2015,Goosebumps,"$80,069,458"
921,"$58,000,000","$188,715,611",5/25/1988,Rambo III,"$53,715,611"
922,"$58,000,000","$87,100,000",12/15/1995,Sabrina,"$53,458,319"
923,"$58,000,000","$50,365,498",1/20/2012,Red Tails,"$49,876,377"
924,"$58,000,000","$100,687,083",9/16/2005,Just Like Heaven,"$48,318,130"
925,"$58,000,000","$93,672,764",6/7/2013,The Internship,"$44,672,764"
926,"$58,000,000","$59,431,365",4/28/2000,The Flintstones in Viva Rock Vegas,"$35,231,365"
927,"$58,000,000","$41,348,628",4/4/2008,Leatherheads,"$31,373,938"
928,"$58,000,000","$100,929,803",3/24/2017,Life,"$30,234,022"
929,"$58,000,000","$80,480,566",12/18/2009,Did You Hear About the Morgans?,"$29,580,087"
930,"$58,000,000","$30,118,557",12/12/2008,"Che, El Ar the Argentine","$293,708"
931,"$57,500,000","$415,247,258",5/30/2008,Sex and the City,"$152,647,258"
932,"$57,500,000","$295,874,190",9/10/2010,Resident Evil: Afterlife,"$60,128,566"
933,"$57,500,000","$58,085,235",6/15/2012,That's My Boy,"$36,931,089"
934,"$57,000,000","$153,007,424",10/17/1997,Devil's Advocate,"$61,007,424"
935,"$57,000,000","$149,217,355",2/17/2012,Ghost Rider: Spirit of Vengeance,"$51,774,002"
936,"$57,000,000","$104,364,680",5/31/1996,Dragonheart,"$51,364,680"
937,"$57,000,000","$38,329,114",11/12/2004,After the Sunset,"$28,328,132"
938,"$57,000,000","$62,097,495",8/17/2001,Captain Corelli's Mandolin,"$25,528,495"
939,"$56,200,000","$213,116,401",12/25/2014,Into the Woods,"$128,002,372"
940,"$56,000,000","$195,660,942",4/11/2003,Anger Management,"$135,560,942"
941,"$56,000,000","$198,006,880",3/4/2005,The Pacifier,"$113,006,880"
942,"$56,000,000","$47,313,824",4/2/2004,Walking Tall,"$46,213,824"
943,"$56,000,000","$359,442,042",1/22/2016,Zhuo yao ji,"$32,766"
944,"$55,000,000","$679,850,637",7/6/1994,Forrest Gump,"$330,151,138"
945,"$55,000,000","$362,605,033",12/14/2007,Alvin and the Chipmunks,"$217,326,974"
946,"$55,000,000","$366,784,257",2/11/2005,Hitch,"$177,784,257"
947,"$55,000,000","$330,425,040",10/6/2000,Meet the Parents,"$166,225,040"
948,"$55,000,000","$307,311,093",12/15/2006,The Pursuit of Happyness,"$162,586,036"
949,"$55,000,000","$347,100,000",6/10/1995,Pocahontas,"$141,579,773"
950,"$55,000,000","$300,200,000",12/15/1978,Superman,"$134,218,018"
951,"$55,000,000","$273,814,019",6/28/1996,The Nutty Professor,"$128,814,019"
952,"$55,000,000","$381,437,482",2/10/2017,Fifty Shades Darker,"$114,434,010"
953,"$55,000,000","$220,648,184",10/11/2013,Captain Phillips,"$107,136,417"
954,"$55,000,000","$174,463,257",7/16/1997,George Of The Jungle,"$105,263,257"
955,"$55,000,000","$126,425,115",8/1/2003,American Wedding,"$104,354,205"
956,"$55,000,000","$345,924,923",11/10/2017,Murder on the Orient Express,"$102,826,543"
957,"$55,000,000","$192,903,624",9/26/2014,The Equalizer,"$101,530,738"
958,"$55,000,000","$371,222,158",2/9/2018,Fifty Shades Freed,"$100,407,760"
959,"$55,000,000","$282,300,000",5/26/1995,Casper,"$100,328,194"
960,"$55,000,000","$152,269,033",4/9/2010,Date Night,"$98,711,404"
961,"$55,000,000","$163,838,217",12/13/2002,Maid in Manhattan,"$93,932,896"
962,"$55,000,000","$159,387,195",5/12/1995,Crimson Tide,"$91,387,195"
963,"$55,000,000","$214,392,904",9/23/2005,Flightplan,"$89,706,988"
964,"$55,000,000","$212,200,000",12/9/1994,Disclosure,"$83,015,089"
965,"$55,000,000","$198,750,909",4/10/1998,City of Angels,"$78,750,909"
966,"$55,000,000","$258,789,097",1/16/2015,Paddington,"$76,223,578"
967,"$55,000,000","$87,473,024",4/28/2006,R.V.,"$71,724,497"
968,"$55,000,000","$196,565,669",10/28/1994,Stargate,"$71,565,669"
969,"$55,000,000","$176,469,428",10/10/2003,Kill Bill: Volume 1,"$70,098,138"
970,"$55,000,000","$189,624,452",6/17/2011,Mr. Poppers's Penguins,"$68,224,452"
971,"$55,000,000","$98,699,769",8/13/1999,Bowfinger,"$66,458,769"
972,"$55,000,000","$153,535,982",4/16/2004,Kill Bill: Volume 2,"$66,207,920"
973,"$55,000,000","$63,408,614",12/22/1989,Tango & Cash,"$63,408,614"
974,"$55,000,000","$149,022,650",7/31/1992,Death Becomes Her,"$58,422,650"
975,"$55,000,000","$71,189,835",5/26/2000,Shanghai Noon,"$56,932,305"
976,"$55,000,000","$122,079,192",3/15/1996,Executive Decision,"$56,679,192"
977,"$55,000,000","$110,387,072",11/1/2013,Free Birds,"$55,750,480"
978,"$55,000,000","$158,500,000",5/22/1992,Alien 3,"$54,927,174"
979,"$55,000,000","$129,075,270",4/18/2008,The Forbidden Kingdom,"$52,075,270"
980,"$55,000,000","$153,770,052",12/22/2004,The Phantom of the Opera,"$51,225,796"
981,"$55,000,000","$79,312,301",3/21/2014,Muppets Most Wanted,"$51,178,893"
982,"$55,000,000","$151,947,179",12/25/1996,Evita,"$50,047,179"
983,"$55,000,000","$77,548,564",8/19/2016,Kubo and the Two Strings,"$48,023,088"
984,"$55,000,000","$70,692,101",9/25/1998,Ronin,"$41,610,884"
985,"$55,000,000","$90,552,675",11/24/2010,Burlesque,"$39,440,655"
986,"$55,000,000","$38,564,422",10/11/1996,The Ghost and the Darkness,"$38,564,422"
987,"$55,000,000","$113,805,580",10/24/2008,Changeling,"$35,739,802"
988,"$55,000,000","$67,130,045",7/27/2012,The Watch,"$34,353,000"
989,"$55,000,000","$47,213,095",3/14/2003,The Hunted,"$34,234,008"
990,"$55,000,000","$34,105,207",6/4/1999,Instinct,"$34,105,207"
991,"$55,000,000","$63,537,164",12/12/2003,Stuck On You,"$33,832,741"
992,"$55,000,000","$43,980,363",2/29/2008,Semi-Pro,"$33,479,698"
993,"$55,000,000","$43,070,915",2/23/2018,Annihilation,"$32,732,301"
994,"$55,000,000","$75,466,595",10/16/2015,Crimson Peak,"$31,090,320"
995,"$55,000,000","$136,143,605",4/27/2012,The Pirates! Band of Misfits,"$31,051,126"
996,"$55,000,000","$53,913,573",12/2/2005,Aeon Flux,"$25,857,987"
997,"$55,000,000","$60,209,334",8/2/1996,Chain Reaction,"$21,226,204"
998,"$55,000,000","$18,582,965",8/16/1996,The Fan,"$18,582,965"
999,"$55,000,000","$74,870,866",10/12/2007,Elizabeth: The Golden Age,"$16,285,240"
1000,"$55,000,000","$16,222,392",6/12/2009,Imagine That,"$16,222,392"
1001,"$55,000,000","$12,923,936",2/21/2003,Gods and Generals,"$12,882,934"
1002,"$55,000,000","$11,532,774",1/10/1997,Turbulence,"$11,532,774"
1003,"$55,000,000","$22,597,969",2/1/2013,Bullet to the Head,"$9,489,829"
1004,"$55,000,000","$9,521,458",9/22/2006,All the King's Men,"$7,221,458"
1005,"$55,000,000","$28,231,444",7/30/2004,Thunderbirds,"$6,768,055"
1006,"$55,000,000","$69,759,296",11/26/2004,Un long dimanche de fianÃ§ailles,"$6,167,817"
1007,"$55,000,000","$6,521,829",5/4/2007,Lucky You,"$5,755,286"
1008,"$55,000,000","$1,147,784",7/22/1998,Lolita,"$1,147,784"
1009,"$55,000,000","$1,807,990",9/20/2002,Eye See You,"$79,161"
1010,"$54,000,000","$108,185,706",6/19/1981,Superman II,"$108,185,706"
1011,"$54,000,000","$154,338,601",3/22/2002,Blade 2,"$81,676,888"
1012,"$54,000,000","$130,402,010",7/14/2006,"You, Me and Dupree","$75,802,010"
1013,"$54,000,000","$166,617,328",12/19/2008,Seven Pounds,"$69,951,824"
1014,"$54,000,000","$66,520,529",12/25/1990,The Godfather: Part III,"$66,520,529"
1015,"$54,000,000","$50,719,373",10/14/2005,Elizabethtown,"$26,850,426"
1016,"$54,000,000","$7,126,002",8/1/2003,Gigli,"$6,087,542"
1017,"$53,012,938","$107,190,108",6/16/2000,Shaft,"$70,327,868"
1018,"$53,000,000","$109,848,461",8/5/2005,The Dukes of Hazzard,"$80,270,227"
1019,"$53,000,000","$131,159,781",10/16/2009,Law Abiding Citizen,"$73,357,727"
1020,"$53,000,000","$98,837,872",9/18/2015,Black Mass,"$62,575,678"
1021,"$53,000,000","$139,801,096",11/14/1997,Anastasia,"$58,403,409"
1022,"$53,000,000","$179,200,588",5/18/2001,Moulin Rouge,"$57,386,369"
1023,"$53,000,000","$54,207,112",11/2/2001,Domestic Disturbance,"$45,207,112"
1024,"$53,000,000","$63,657,941",10/20/2006,Flags of Our Fathers,"$33,602,376"
1025,"$53,000,000","$50,187,789",4/6/2007,Grindhouse,"$25,031,037"
1026,"$53,000,000","$22,852,487",10/16/1998,Beloved,"$22,852,487"
1027,"$52,500,000","$134,612,435",12/19/2012,Zero Dark Thirty,"$95,720,716"
1028,"$52,000,000","$355,612,291",12/25/2002,Catch Me if You Can,"$164,606,800"
1029,"$52,000,000","$615,748,772",7/18/2008,Mamma Mia!,"$144,130,063"
1030,"$52,000,000","$205,727,307",6/2/2006,The Break-Up,"$118,703,275"
1031,"$52,000,000","$217,569,328",2/12/2010,Valentine's Day,"$110,485,654"
1032,"$52,000,000","$110,400,000",11/22/1995,Casino,"$42,438,300"
1033,"$52,000,000","$75,997,067",8/5/2011,The Change-Up,"$37,243,418"
1034,"$52,000,000","$97,709,034",12/23/1998,The Thin Red Line,"$36,400,491"
1035,"$52,000,000","$47,407,635",12/22/1999,Man on the Moon,"$34,580,635"
1036,"$52,000,000","$53,139,168",2/5/2010,From Paris With Love,"$24,077,427"
1037,"$52,000,000","$23,010,607",4/16/2003,Bulletproof Monk,"$23,010,607"
1038,"$51,000,000","$149,270,999",6/23/2000,"Me, Myself & Irene","$90,570,999"
1039,"$51,000,000","$118,583,844",8/4/2006,Barnyard: The Original Party Animals,"$72,779,000"
1040,"$51,000,000","$46,815,807",11/22/2006,Deck the Halls,"$35,093,569"
1041,"$50,200,000","$126,931,325",3/4/2011,The Adjustment Bureau,"$62,495,645"
1042,"$50,000,000","$687,557,727",11/20/2009,The Twilight Saga: New Moon,"$296,623,634"
1043,"$50,000,000","$491,812,794",5/18/2001,Shrek,"$267,655,011"
1044,"$50,000,000","$556,016,627",6/29/2012,Ted,"$218,665,740"
1045,"$50,000,000","$331,333,876",6/13/2014,22 Jump Street,"$191,719,337"
1046,"$50,000,000","$390,500,000",6/14/1991,Robin Hood: Prince of Thieves,"$165,493,908"
1047,"$50,000,000","$274,000,000",12/13/1996,Jerry Maguire,"$153,952,592"
1048,"$50,000,000","$242,757,137",12/25/2015,Daddyâs Home,"$150,357,137"
1049,"$50,000,000","$314,111,923",12/24/1997,As Good as it Gets,"$148,478,011"
1050,"$50,000,000","$202,173,000",12/25/1998,Patch Adams,"$135,014,968"
1051,"$50,000,000","$217,196,811",6/17/2016,Central Intelligence,"$127,440,871"
1052,"$50,000,000","$172,185,754",12/18/2013,Anchorman 2: The Legend Continues,"$127,352,707"
1053,"$50,000,000","$257,972,745",6/10/2011,Super 8,"$127,004,179"
1054,"$50,000,000","$171,269,535",6/28/2002,Mr. Deeds,"$126,293,452"
1055,"$50,000,000","$257,805,243",3/17/2000,Erin Brockovich,"$125,548,685"
1056,"$50,000,000","$346,915,663",2/9/2018,Peter Rabbit,"$115,234,093"
1057,"$50,000,000","$178,890,782",2/7/2003,How to Lose a Guy in 10 Days,"$105,807,520"
1058,"$50,000,000","$223,564,608",11/11/1994,Interview with the Vampire: The Vampire Chronicles,"$105,264,608"
1059,"$50,000,000","$225,990,976",12/19/2008,Yes Man,"$97,690,976"
1060,"$50,000,000","$222,383,055",2/28/2014,Non-Stop,"$91,742,160"
1061,"$50,000,000","$159,745,279",12/25/1998,Stepmom,"$91,137,662"
1062,"$50,000,000","$238,059,569",8/9/2013,Disney Planes,"$90,282,580"
1063,"$50,000,000","$128,402,901",3/10/2006,Failure to Launch,"$88,715,192"
1064,"$50,000,000","$185,798,265",3/24/2006,Inside Man,"$88,634,237"
1065,"$50,000,000","$216,508,301",7/28/2017,The Emoji Movie,"$86,089,513"
1066,"$50,000,000","$147,142,328",7/29/2011,"Crazy, Stupid, Love","$84,351,197"
1067,"$50,000,000","$179,769,457",12/22/2017,The Post,"$81,903,458"
1068,"$50,000,000","$161,626,121",2/5/1999,Payback,"$81,526,121"
1069,"$50,000,000","$152,022,333",6/9/1995,Congo,"$81,022,333"
1070,"$50,000,000","$186,450,317",3/20/2009,Knowing,"$79,957,634"
1071,"$50,000,000","$161,941,727",3/18/2005,The Ring Two,"$75,941,727"
1072,"$50,000,000","$118,729,073",12/23/2011,We Bought a Zoo,"$75,624,550"
1073,"$50,000,000","$111,300,835",9/23/2011,Moneyball,"$75,605,492"
1074,"$50,000,000","$208,094,550",6/11/2004,Garfield: The Movie,"$75,367,693"
1075,"$50,000,000","$96,469,187",11/24/2004,Christmas with the Kranks,"$73,701,902"
1076,"$50,000,000","$130,214,162",3/17/2006,V for Vendetta,"$70,511,035"
1077,"$50,000,000","$67,823,573",3/10/1995,Outbreak,"$67,823,573"
1078,"$50,000,000","$105,103,784",3/13/2009,Race to Witch Mountain,"$67,172,595"
1079,"$50,000,000","$117,211,892",9/24/2004,The Forgotten,"$66,711,892"
1080,"$50,000,000","$144,110,682",6/22/2005,Herbie: Fully Loaded,"$66,010,682"
1081,"$50,000,000","$88,316,835",2/7/2003,Shanghai Knights,"$60,470,220"
1082,"$50,000,000","$156,399,644",7/18/2014,Planes: Fire and Rescue,"$59,157,732"
1083,"$50,000,000","$71,052,604",2/10/2006,Curious George,"$58,640,119"
1084,"$50,000,000","$236,799,211",4/6/2012,American Reunion,"$56,758,835"
1085,"$50,000,000","$214,949,716",1/25/2013,Hansel & Gretel: Witch Hunters,"$55,703,475"
1086,"$50,000,000","$146,195,159",2/18/2011,I am Number Four,"$55,100,437"
1087,"$50,000,000","$104,488,383",9/28/2001,Donât Say a Word,"$54,997,476"
1088,"$50,000,000","$69,411,370",1/15/2016,13 Hours: The Secret Soldiers of Benghazi,"$52,853,219"
1089,"$50,000,000","$119,114,494",5/8/2002,Unfaithful,"$52,752,475"
1090,"$50,000,000","$135,547,797",9/29/2017,American Made,"$51,342,000"
1091,"$50,000,000","$92,690,959",11/23/2005,Syriana,"$50,824,620"
1092,"$50,000,000","$125,168,734",9/10/2004,Resident Evil: Apocalypse,"$50,740,078"
1093,"$50,000,000","$97,651,543",10/17/2014,The Book of Life,"$50,151,543"
1094,"$50,000,000","$50,068,310",2/14/1997,Absolute Power,"$50,068,310"
1095,"$50,000,000","$82,751,189",2/10/2006,Firewall,"$48,751,189"
1096,"$50,000,000","$80,369,970",9/12/1997,The Game,"$48,265,581"
1097,"$50,000,000","$48,169,156",8/22/1997,G.I. Jane,"$48,169,156"
1098,"$50,000,000","$150,429,371",8/8/2014,Into the Storm,"$47,602,194"
1099,"$50,000,000","$76,119,388",10/10/2014,The Judge,"$47,119,388"
1100,"$50,000,000","$94,704,227",4/21/2006,Silent Hill,"$46,982,632"
1101,"$50,000,000","$50,054,511",8/11/2000,The Replacements,"$44,737,059"
1102,"$50,000,000","$49,105,766",7/29/1998,The Negotiator,"$44,705,766"
1103,"$50,000,000","$86,234,523",8/19/2016,War Dogs,"$43,034,523"
1104,"$50,000,000","$119,180,938",5/25/1994,Beverly Hills Cop III,"$42,586,861"
1105,"$50,000,000","$41,476,097",6/15/1990,Gremlins 2: The New Batch,"$41,476,097"
1106,"$50,000,000","$62,967,368",9/26/1997,The Peacemaker,"$41,263,140"
1107,"$50,000,000","$55,489,826",10/3/2003,Out of Time,"$41,083,108"
1108,"$50,000,000","$263,894,551",11/12/2004,Bridget Jones: The Edge Of Reason,"$40,203,020"
1109,"$50,000,000","$39,778,599",2/11/2000,The Beach,"$39,778,599"
1110,"$50,000,000","$69,425,966",6/10/2005,The Adventures of Sharkboy and Lavagirl in 3-D,"$39,177,684"
1111,"$50,000,000","$38,590,458",2/18/1994,On Deadly Ground,"$38,590,458"
